"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.65460522778694,2.11835467420316,0.217704193391186,0.374158132364511,1.12265446451985,2.1269125118472,3.61112009596277,6.7741554020525,8.15238598526158
"2",3,10,2.56980880538583,1.96580104875925,0.255796811950122,0.377579056341743,1.10837798940778,2.10483005933487,3.51228388603393,6.38832215775001,7.67784051952808
"3",4,11,2.50898190773926,1.88925730058796,0.262875775452073,0.388090724318329,1.10295650453943,2.05323657879326,3.43107924151117,6.18044209081481,7.31846645275566
"4",5,12,2.54397858160267,1.9856817697489,0.215509169652514,0.341771720684525,1.07232928071599,2.07653240289953,3.43395837576703,6.60236515536943,7.63362635417888
"5",6,13,2.61626731684721,2.02950442814109,0.226586335091903,0.348555777729246,1.13943271434988,2.11338276655663,3.56660118678335,6.41021827060348,7.46554775448583
"6",7,14,2.61707676928496,2.09330685084419,0.215847913261183,0.377082046960768,1.14037274770691,2.07854345591395,3.5023522043783,6.64419919522891,8.01588441153623
"7",8,15,2.62431703057586,2.06346959620546,0.248671285925911,0.365275403088109,1.13850329019869,2.13656755853949,3.49076012141775,6.61093733956248,7.90224594656904
"8",9,16,2.53634584465385,1.93711467987643,0.22424586721435,0.3558288978946,1.09711110930902,2.03533665961496,3.49335221133087,6.40596696406977,7.39981043198878
"9",10,17,2.56500565986677,1.94072039818942,0.22991594608695,0.376894276293008,1.1022434111331,2.10755827753203,3.49292165667128,6.45426173405599,7.38837180828014
"10",11,18,2.62084342450117,1.99006883823881,0.247678836421197,0.380398779606267,1.13719159181218,2.0997544832641,3.62976111264735,6.61935595043241,7.81135447805839
"11",12,19,2.6021586255284,2.08932333254303,0.20408599896481,0.341828537940071,1.08598504020597,2.05939759710039,3.56456164655001,6.76969490360128,7.97178068132231
"12",13,20,2.53584598625492,1.94533470845088,0.196481807928333,0.339339801228623,1.08900830710861,2.11052666624528,3.46394604343112,6.28250325692611,7.38996548974393
"13",14,21,2.66772600704352,2.1108296442352,0.239370961241774,0.370716120133466,1.14267070187172,2.15155349481308,3.64824449820191,6.86327373456356,8.07872632021174
"14",15,22,2.62268657918764,2.00436217278017,0.236338883618127,0.364857726933017,1.15859812263102,2.14471496925133,3.61598662677671,6.42416646357523,7.73664435533444
"15",16,23,2.65757182141363,2.01558106135553,0.266876531231088,0.396831741304875,1.16055224682671,2.15191457891749,3.68053230859875,6.64230023087868,8.01044671534613
"16",17,24,2.63234686646251,2.01761226756983,0.241416823112841,0.368347439875039,1.17631888044966,2.15046799485299,3.53000290120553,6.54774117059316,7.95468493372948
"17",18,25,2.62648601041591,2.0730274445071,0.223950743534027,0.359856297072993,1.12737262746535,2.0787363356923,3.59144541419047,6.67803372969501,7.98394704614092
"18",19,26,2.50768905689089,1.91298511566799,0.207815182239338,0.340062992510002,1.12584245162059,2.00902751670293,3.46810956465914,6.03094272611708,7.4562566235732
"19",20,27,2.63146400511281,2.05748178143067,0.241587632842975,0.384811897174568,1.14612402283004,2.11713800044601,3.50503588930143,6.76984059026806,7.83730060360001
"20",21,28,2.61032491347854,1.9915477730169,0.215471962107713,0.366845053582171,1.19511438041031,2.15702967201759,3.53221251153044,6.4825264996887,7.59401405114096
"21",22,29,2.6770234057641,1.96428708246801,0.245609112876835,0.398090925888355,1.18596196402701,2.24494397462523,3.65659298326942,6.48613395452408,7.45629972795971
"22",23,30,2.59456038132693,1.97801023401154,0.213002116331197,0.337027626549056,1.15882782701248,2.1049249046962,3.57371766168567,6.45880450393749,7.59043218111147
"23",24,31,2.66625703111749,2.0980808138497,0.229135768518965,0.364865871197464,1.14209726619566,2.12818578428289,3.56991353306846,6.66465598765581,8.23331223569011
"24",25,32,2.55743966532037,1.99647968800832,0.230996345824039,0.348420265197243,1.08912124074653,2.06181229726487,3.43556439237957,6.40975003718975,7.6571443610415
"25",26,33,2.57799402640628,1.94431980470375,0.253772302054766,0.383955089074292,1.17455041629981,2.11479390340384,3.4858663938801,6.28964145973969,7.25627549563324
"26",27,34,2.61414360283245,2.02021817629806,0.222442262082615,0.337015551233476,1.10501256444364,2.10054803766365,3.62464897055949,6.54881559223129,7.83001493598783
"27",28,35,2.59165489325202,1.9639502104276,0.198794513504285,0.341835928319212,1.11654527302905,2.11727826095687,3.61076596012656,6.37551031165965,7.50556163457244
"28",29,36,2.6275710300547,2.03330921494215,0.26583108191607,0.388892546536724,1.12548748720523,2.13568691990202,3.58028356196985,6.63376451491532,7.8588130117209
"29",30,37,2.54440251411362,1.95197091323999,0.264612473093921,0.384739648523438,1.12010067313422,2.03799525398366,3.44134082371538,6.26942808729918,7.46749765766621
"30",31,38,2.6052263488683,2.02789442688821,0.238862875911295,0.339478962302054,1.09569927849424,2.08439011655366,3.62574363727611,6.64925865611788,7.55835800108014
"31",32,39,2.59938922574992,1.99261074734714,0.243662610801098,0.372680942401921,1.12902379604472,2.0937507167772,3.56560268258275,6.33932280234248,7.54899574753938
"32",33,40,2.6260162773154,1.99311500516607,0.233147019720264,0.368141541689119,1.14127437984027,2.11769904680825,3.59554596036027,6.5660008288821,7.7410437093705
"33",34,41,2.55791194799487,2.00784771059158,0.214012348208522,0.316201116807643,1.07978885972757,2.06110198611007,3.49761323162467,6.4882522842219,7.79344716988682
"34",35,42,2.62738741664642,1.96692724431324,0.241212798081674,0.382805484898798,1.19017420736405,2.15773906000088,3.5140675317531,6.45864703850671,7.47594877326699
"35",36,43,2.59523948270769,1.989701916455,0.236661300953681,0.371924303745774,1.1091887032798,2.14871159982354,3.57874241353811,6.36623128047421,7.67749219518875
"36",37,44,2.6676669519429,2.05885306673973,0.218692747561985,0.326782306198843,1.14506649140025,2.18041586503755,3.65171587587422,6.77631532913549,7.98514489348155
"37",38,45,2.55705949209842,1.98962163107603,0.249785414519062,0.378644096700457,1.13392611739948,2.05773271727178,3.40827151149133,6.28219272676782,7.67303309545557
"38",39,46,2.61122883035095,2.0170459018407,0.208459350402618,0.357878966993834,1.12947807469015,2.14113742170433,3.57893379805433,6.5756406332012,7.77117325470399
"39",40,47,2.60172465873417,2.04915432186523,0.239675329207583,0.396125147450407,1.1147324462779,2.06694310542607,3.5637537113596,6.59526442139165,7.70184557775725
"40",41,48,2.65088413413043,2.03890881196802,0.227358220610447,0.370308455932463,1.12162589848819,2.15367620044027,3.62523308043681,6.59163512133075,7.98721994807331
"41",42,49,2.59171020373937,1.93778947112166,0.236682990780688,0.377023328360164,1.17233506861253,2.15411803326561,3.46381243658162,6.47567938115712,7.4521871540555
"42",43,50,2.62459093649015,2.0186151383443,0.21664335100731,0.349740760151777,1.1360195650255,2.12216136012105,3.61011189425882,6.57541324310654,7.8213627092637
"43",44,51,2.63615102643677,2.02323228389322,0.232207307233947,0.382301793749575,1.1640227233559,2.15296460089212,3.49685351279576,6.70318096500291,7.82131934718326
"44",45,52,2.61340080534069,1.99324413266966,0.247153516623519,0.378757701262348,1.14242793866702,2.14325303133192,3.56612744993876,6.42314002477258,7.51657465697261
"45",46,53,2.6349688773475,2.00899994980021,0.234198817600937,0.401309673846622,1.14629197157088,2.15796262031341,3.61588047069783,6.57456078301672,7.77513956618739
"46",47,54,2.5965094237029,2.00457225914159,0.247657157889793,0.382167617704203,1.167321805913,2.12050599968257,3.52021781176855,6.45935217055085,7.52093225136741
"47",48,55,2.59985955421473,1.99739290007834,0.212797798285344,0.360740663529523,1.15257138371368,2.12335293219967,3.49032922129442,6.65840309318573,7.71492749260784
"48",49,56,2.56745227462913,1.99020910958297,0.230802665176403,0.360480108745375,1.11322475457735,2.09323802551833,3.4924054297658,6.44923704489639,7.59893267540904
"49",50,57,2.57439266785531,1.95294369227457,0.228528059239431,0.355852108306966,1.1431438351698,2.12218956382714,3.52895404111695,6.30964476791916,7.65661011317727
"50",51,58,2.57453637993886,1.99200289108377,0.24759964050469,0.366512124746775,1.11357740595765,2.07442228856395,3.4999422744813,6.49634360198241,7.61498171684525
"51",52,59,2.56004975481537,1.96452346301266,0.206367041795617,0.344833791364943,1.10612482463064,2.07111634018459,3.50136909094707,6.45601024815528,7.45719544574494
"52",53,60,2.63927868046959,2.05849874668459,0.214002777258937,0.335637889505251,1.14072866923845,2.09285610893008,3.64011064866379,6.57803890209315,7.77939020584907
"53",54,61,2.61381613656392,1.97969997460148,0.260677797249414,0.410601909848055,1.1644421274043,2.1364948250511,3.46224171332372,6.61593835958136,7.80276087143774
"54",55,62,2.61339475854437,2.04004996969252,0.257332942470542,0.355337614870031,1.12505264879376,2.12184557948328,3.57430159109587,6.42281390652966,8.05416225554297
"55",56,63,2.61311657835551,2.02561930683497,0.220579392663126,0.366963920911068,1.14386833425283,2.09886656513959,3.50548740169352,6.60780882886307,7.62719500397015
"56",57,64,2.53227298847382,1.92803346944898,0.258603458300814,0.374153344564997,1.12318877942091,2.04477437422518,3.42084441394063,6.25661892219537,7.35424895148667
"57",58,65,2.5812718939761,1.9785348642863,0.245334916399513,0.404589573166291,1.15711485502943,2.15573560205011,3.41783770738243,6.3845932308681,7.70051886558639
"58",59,66,2.65719394744656,2.04023220383476,0.255235527167706,0.384676554626399,1.16761355791108,2.17683283502689,3.60757747509261,6.62712250080092,7.93815390692341
"59",60,67,2.63353601802376,2.01821055061989,0.241711176703936,0.38191490637016,1.11864615257541,2.11035452631412,3.58428946010339,6.69800926666098,7.93414040286351
"60",61,68,2.59162866278264,2.02529139765483,0.213910689484087,0.342189860187548,1.11816832206111,2.06967836504271,3.53925997807047,6.59421646087116,7.60090986252967
"61",62,69,2.59026463994638,2.02691020161363,0.216729673375885,0.354582031213491,1.14875038752994,2.1286392201438,3.4997912246749,6.5175485233924,7.96794059678032
"62",63,70,2.56809217322442,1.97108363373573,0.229208053452164,0.35470356087531,1.10363699590823,2.07808583189252,3.51945285725261,6.24894229980437,7.39262559798969
