"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.57489692785737,1.99417518635425,0.245269469937375,0.383396919532893,1.14748234154132,2.08120591454754,3.41768568923517,6.40716546874772,7.64672164547572
"2",3,10,2.62727097193212,2.02049151399336,0.215343717542582,0.33997287013014,1.16820551801038,2.12358151655341,3.54370682547111,6.55495354438124,7.73383318612847
"3",4,11,2.60602445286514,1.99610398066282,0.240192802457142,0.352036387402436,1.13866777135265,2.09374091407531,3.5704340352964,6.43364917330029,7.55403164034236
"4",5,12,2.61187088996199,1.95145187277655,0.27867891231222,0.403411712537394,1.20598736822818,2.13640461936616,3.54556387126792,6.29676876304729,7.54531501774201
"5",6,13,2.58403039856795,1.94198502400004,0.260236576984272,0.394557881462313,1.16114515573917,2.11799504138269,3.51316242689489,6.25176884429521,7.47786286486514
"6",7,14,2.56903555520901,1.97203766644507,0.250244841710186,0.383181518449442,1.14412773231252,2.06502383707578,3.49739123715665,6.48769585202803,7.77343275241593
"7",8,15,2.6534338448013,2.04870799605361,0.225602124887093,0.35869029052349,1.17213891175646,2.1482176227597,3.61290589591585,6.68171286456232,7.83470793320732
"8",9,16,2.58052259764879,1.99913539731087,0.258378629433164,0.397567126357762,1.12543350442411,2.07050949749564,3.46591042010191,6.50683923616794,7.62079898878547
"9",10,17,2.55298420289023,1.9666677513931,0.230847219543475,0.356087315447927,1.12113639105482,2.10240065039437,3.4390093408229,6.29249599260263,7.4549444605358
"10",11,18,2.59560523864994,2.04852363113139,0.223551830870106,0.337304612514666,1.14666277862234,2.03529654851797,3.52324911534907,6.55305741286261,7.98946442909899
"11",12,19,2.60919724357848,1.99415016867021,0.240470151557704,0.376531548185711,1.12142999327543,2.14506494517211,3.54804233232998,6.4087786386561,7.77169819559648
"12",13,20,2.63297659998631,2.08559286696451,0.284742519757745,0.404639552610594,1.16106597433521,2.09668528176446,3.52474657260869,6.69974842158606,8.01380121870018
"13",14,21,2.58130426999619,2.00522533126026,0.247504084508237,0.35587870095064,1.0995438107584,2.03737815475352,3.55426765453844,6.44707694904014,7.96850473950988
"14",15,22,2.55438226429999,1.99317844972979,0.241903844065629,0.359719496103561,1.09685009008721,2.05058056015346,3.47749054741977,6.4461353647312,7.52523381855157
"15",16,23,2.55962322757017,1.95675475416147,0.234359400063869,0.366118805054378,1.14022893757754,2.06369900212833,3.48984668601165,6.47278916478372,7.61758574715405
"16",17,24,2.58729970598748,1.98138793764979,0.22337645358705,0.356293545745936,1.11550572418773,2.13000169349936,3.49169750225982,6.48983287012479,7.47964028419859
"17",18,25,2.59134230693068,1.98008199403114,0.238998938501806,0.391195769200391,1.12671036728536,2.10206323469572,3.51420906596285,6.56682443700262,7.78458017154682
"18",19,26,2.55884298103876,1.99389992688576,0.203412111622677,0.317195093054409,1.1102436773138,2.05853265223866,3.50748633896754,6.43564113562008,7.72017883847292
"19",20,27,2.59595934128572,1.99040545678209,0.239590334016688,0.347812764942627,1.10418981045941,2.13916148825995,3.62147029945974,6.38126959504419,7.65766798515263
"20",21,28,2.60435088324301,2.05728082371207,0.235649402568359,0.329822819174669,1.11231248051434,2.11993546625172,3.59408620781874,6.34148088522337,7.76644261666491
"21",22,29,2.61185829035665,1.99808240710968,0.239905549354375,0.364727234123632,1.15088557710298,2.11401268777129,3.53359720821518,6.45417337009312,7.87534747510859
"22",23,30,2.63681809729186,2.04035362855206,0.236997616241524,0.351224489210951,1.10956296603331,2.13270368388225,3.59862069059298,6.82268380526751,8.09778545156648
"23",24,31,2.6663698146012,2.02505569411803,0.239209004419831,0.375521875607169,1.14440769456897,2.21325228463315,3.66428363673247,6.52543854427157,7.68771279591166
"24",25,32,2.54552494617935,1.98796984202264,0.240924014636749,0.354910620686497,1.09131439906831,2.0702391985426,3.42924073448121,6.52788062228778,7.6539433330122
"25",26,33,2.59382992775379,2.02440049864456,0.239858878823951,0.375112362244854,1.09326922152444,2.10060713874428,3.56608053231901,6.55797822286276,7.87577716920235
"26",27,34,2.65690980670245,2.07577541684194,0.229602477802948,0.345280546954403,1.15328953466658,2.16810633520042,3.58365593824673,6.64290070131217,7.9148414619799
"27",28,35,2.60782364195844,2.03409812046266,0.201350451593829,0.359471281830716,1.15770918478591,2.11112116896128,3.52609406786388,6.52845900034835,7.67479037115526
"28",29,36,2.57155437771028,1.96295471047953,0.231362603682226,0.384812709724368,1.14855996606456,2.08658404431687,3.52793284275644,6.19224914152704,7.63640982396581
"29",30,37,2.59478552126474,2.01477692255837,0.250754507606805,0.360963549791628,1.13612140756214,2.11412613063516,3.49591415223077,6.4771280682324,7.77002867354911
"30",31,38,2.69810865857368,2.10748478711006,0.252778397449383,0.384300346621211,1.16006239577254,2.19341724946117,3.66078650448965,6.81274346499544,8.34995237074123
"31",32,39,2.62690724390367,2.05315795031607,0.240521454812274,0.352276718506483,1.12286206333385,2.13089045377447,3.61150728779619,6.55440093910953,8.05577265657426
"32",33,40,2.5760073783663,1.97304448290076,0.259152089900271,0.396394922985564,1.11813585691493,2.08264065024385,3.49015470318264,6.41337319216109,7.51142547138016
"33",34,41,2.59171402565947,1.95976274502731,0.239558242559812,0.359146735705317,1.12621918781519,2.14181052341851,3.52144363073958,6.42718300657335,7.68550114974586
"34",35,42,2.68778522865334,2.12389414250655,0.259349073659958,0.368010936236938,1.10429183118268,2.15000510369022,3.69292259286781,6.86884113360721,8.23507138080348
"35",36,43,2.59560145405092,1.91505099626937,0.220284827155862,0.368673308965262,1.15599309440996,2.18570437054649,3.51385126465309,6.38388989159954,7.57049714571312
"36",37,44,2.60887442010214,1.98898278335169,0.256455558214667,0.393130588129488,1.16054181816614,2.14122091110714,3.47357151504475,6.59458482179627,7.8708436994941
"37",38,45,2.57812970450756,1.98906882637491,0.255112529860435,0.357060964421684,1.13422677790912,2.08386313874133,3.52798335816778,6.41451031856639,7.70250597820163
"38",39,46,2.65236020290999,2.053506347056,0.228564975883606,0.361187935993413,1.16880945468413,2.14590213297862,3.59737939454172,6.56540938166741,7.97155597405546
"39",40,47,2.62067114260262,2.01098766268243,0.229503363737274,0.364551941376759,1.14112998279493,2.12834618719462,3.65396680222349,6.63730854515078,7.72014699919677
"40",41,48,2.64606206259243,2.09649181849741,0.234203060039085,0.363717859150033,1.08129061247226,2.11667079217092,3.62963819257507,6.89205580612516,8.07975159506383
"41",42,49,2.63466304028034,2.00833691976458,0.282701213025311,0.401185997260497,1.17478151004794,2.12727698267744,3.59709260453759,6.52907206562319,7.7779112132063
"42",43,50,2.62573025396955,2.0363129604587,0.260693022341772,0.391011347346103,1.14596048158618,2.12583183249563,3.49616571995154,6.80301687195201,7.94754145879123
"43",44,51,2.66168417616541,1.95746110027475,0.249502847843069,0.403172270695688,1.19332850267009,2.22322774542287,3.62970460891244,6.50524914189394,7.68579775744392
"44",45,52,2.61670669933168,2.0271380353872,0.212107737088173,0.3249401592147,1.09631980168827,2.13636191689222,3.64020245387468,6.45039967374936,7.60363863116324
"45",46,53,2.62342358145591,2.02578044427572,0.235608878079678,0.378180988444669,1.13257502134423,2.14453118553733,3.56592046414889,6.5381110370162,7.96900676788453
"46",47,54,2.59693955979576,1.99328624574188,0.242208964507225,0.376122947068866,1.1603358241242,2.11214032955055,3.50859211736026,6.4326920961312,7.56785151983976
"47",48,55,2.59179736504851,1.95048419652155,0.25835000478462,0.406850414161581,1.15828544129529,2.11300847311849,3.49591427502446,6.47707660999599,7.61928956928603
"48",49,56,2.54143297002788,1.95217979265444,0.236104259072317,0.343245620216048,1.11900957881786,2.08190892150223,3.46036737695234,6.35879159389856,7.47745647669419
"49",50,57,2.59796887030687,1.97788713507452,0.234716068959595,0.353990201089536,1.1376664720303,2.10453254107119,3.57582069217244,6.34000392515008,7.51784357428182
